Id,sim_product
12.0,386032.0
33.0,381897.0
33.0,119026.0
39.0,150250.0
39.0,438351.0
39.0,412517.0
39.0,517966.0
45.0,28318.0
77.0,198860.0
77.0,375278.0
78.0,540130.0
78.0,279748.0
82.0,333487.0
82.0,354385.0
82.0,433407.0
105.0,520172.0
105.0,178295.0
105.0,278985.0
105.0,490079.0
117.0,489555.0
120.0,275523.0
120.0,57583.0
120.0,3458.0
120.0,352488.0
120.0,231855.0
121.0,537757.0
121.0,161171.0
121.0,10489.0
121.0,123930.0
121.0,497266.0
127.0,183055.0
127.0,259165.0
130.0,118258.0
130.0,138401.0
131.0,104439.0
131.0,66154.0
131.0,541739.0
136.0,438656.0
136.0,72587.0
137.0,103751.0
137.0,164998.0
147.0,401824.0
148.0,364250.0
148.0,144070.0
148.0,538820.0
173.0,425568.0
173.0,163125.0
185.0,367153.0
185.0,530084.0
187.0,252981.0
187.0,289571.0
187.0,99838.0
193.0,530038.0
193.0,210618.0
193.0,339791.0
193.0,180577.0
196.0,289292.0
196.0,18441.0
196.0,204725.0
196.0,228496.0
199.0,148489.0
199.0,329644.0
199.0,27673.0
203.0,303764.0
203.0,14788.0
203.0,444836.0
215.0,279005.0
215.0,503196.0
224.0,40399.0
224.0,82840.0
224.0,425324.0
244.0,356172.0
244.0,363077.0
244.0,417631.0
244.0,314794.0
249.0,408687.0
249.0,405502.0
249.0,458090.0
249.0,90010.0
255.0,516543.0
256.0,257653.0
256.0,27567.0
257.0,70845.0
257.0,54999.0
257.0,208459.0
257.0,95480.0
261.0,438723.0
261.0,500424.0
261.0,51447.0
265.0,460219.0
265.0,441138.0
265.0,202368.0
265.0,182045.0
265.0,345355.0
268.0,34730.0
268.0,282378.0
268.0,133352.0
268.0,494032.0
269.0,126528.0
269.0,171866.0
269.0,338786.0
269.0,434500.0
269.0,423337.0
274.0,268396.0
274.0,464269.0
275.0,441163.0
275.0,350243.0
275.0,501108.0
275.0,363293.0
275.0,281620.0
282.0,270494.0
296.0,424705.0
296.0,532042.0
296.0,376858.0
302.0,158481.0
302.0,464164.0
302.0,528109.0
302.0,371617.0
307.0,451164.0
307.0,352421.0
307.0,17814.0
307.0,536147.0
322.0,330738.0
322.0,172911.0
322.0,484406.0
326.0,329986.0
326.0,76426.0
326.0,183304.0
326.0,370382.0
333.0,15915.0
333.0,481828.0
335.0,72456.0
335.0,229909.0
335.0,293721.0
335.0,321873.0
335.0,408820.0
338.0,406972.0
344.0,400431.0
344.0,462096.0
344.0,462073.0
344.0,86800.0
347.0,189548.0
347.0,490421.0
347.0,347049.0
347.0,72168.0
393.0,37024.0
393.0,110167.0
393.0,517644.0
393.0,323071.0
393.0,345489.0
396.0,243410.0
396.0,514683.0
399.0,239254.0
399.0,531353.0
399.0,232015.0
399.0,98860.0
413.0,8635.0
413.0,445663.0
413.0,220193.0
426.0,60296.0
426.0,273452.0
435.0,247123.0
435.0,140443.0
435.0,530558.0
439.0,317053.0
439.0,360318.0
439.0,211042.0
439.0,440418.0
439.0,199628.0
448.0,75848.0
448.0,475036.0
448.0,471848.0
448.0,104366.0
448.0,158327.0
450.0,379911.0
450.0,282321.0
472.0,512170.0
472.0,435754.0
494.0,475770.0
494.0,419356.0
494.0,51907.0
494.0,476780.0
494.0,319831.0
495.0,99409.0
495.0,539419.0
495.0,111733.0
495.0,57686.0
495.0,345615.0
498.0,243621.0
510.0,420678.0
510.0,155836.0
527.0,240873.0
527.0,212465.0
527.0,129755.0
527.0,486869.0
566.0,105753.0
566.0,438424.0
566.0,477635.0
569.0,92574.0
569.0,34239.0
577.0,227873.0
577.0,98756.0
577.0,288563.0
577.0,517948.0
577.0,196284.0
582.0,155245.0
582.0,180521.0
596.0,517392.0
611.0,344140.0
611.0,167031.0
611.0,152538.0
611.0,537808.0
611.0,189234.0
626.0,100408.0
626.0,7962.0
626.0,25270.0
626.0,428650.0
633.0,32303.0
633.0,76376.0
633.0,521846.0
640.0,185287.0
640.0,458345.0
640.0,824.0
649.0,429666.0
649.0,483707.0
649.0,279261.0
650.0,384178.0
650.0,199125.0
650.0,275732.0
650.0,319202.0
652.0,224067.0
652.0,298156.0
652.0,354146.0
652.0,353484.0
652.0,152606.0
654.0,27940.0
654.0,526188.0
654.0,340189.0
654.0,86422.0
654.0,25953.0
666.0,412120.0
666.0,216357.0
673.0,320219.0
673.0,359758.0
673.0,220266.0
673.0,90707.0
681.0,437006.0
681.0,4951.0
681.0,99661.0
681.0,458882.0
681.0,28445.0
695.0,378941.0
695.0,33172.0
696.0,91403.0
696.0,389255.0
698.0,209364.0
698.0,540768.0
698.0,420374.0
700.0,25801.0
700.0,508400.0
700.0,178785.0
702.0,512003.0
702.0,174559.0
702.0,345709.0
702.0,220032.0
702.0,219784.0
710.0,328720.0
